departamento,municipio,votos,atipico_volumen
CASANARE,NUNCHIA,3993,False
HUILA,IQUIRA,3991,False
CUNDINAMARCA,SAN BERNARDO,3990,False
CUNDINAMARCA,MEDINA,3978,False
CUNDINAMARCA,UBALA,3978,False
HUILA,YAGUARA,3975,False
NARINO,TANGUA,3967,False
CUNDINAMARCA,LENGUAZAQUE,3960,False
CAUCA,PURACE,3956,False
CAUCA,LOPEZ DE MICAY,3956,False
VALLE DEL CAUCA,EL AGUILA,3956,False
SUCRE,COLOSO,3950,False
SANTANDER,SUAITA,3943,False
TOLIMA,PRADO,3940,False
CUNDINAMARCA,UNE,3938,False
NORTE DE SANTANDER,EL CARMEN,3899,False
ANTIOQUIA,GOMEZ PLATA,3897,False
TOLIMA,COELLO,3893,False
BOLIVAR,MARGARITA,3883,False
HUILA,AGRADO,3881,False
CHOCO,CONDOTO,3876,False
NARINO,ALBAN,3862,False
HUILA,TERUEL,3838,False
BOYACA,TOCA,3825,False
CUNDINAMARCA,VERGARA,3813,False
SANTANDER,BOLIVAR,3810,False
BOLIVAR,SOPLAVIENTO,3803,False
NORTE DE SANTANDER,SAN CAYETANO,3781,False
CAQUETA,BELEN DE LOS ANDAQUIES,3774,False
QUINDIO,GENOVA,3758,False
SANTANDER,VILLANUEVA,3751,False
BOYACA,BELEN,3740,False
NARINO,SAN BERNARDO,3724,False
LA GUAJIRA,EL MOLINO,3714,False
ANTIOQUIA,NARINO,3709,False
CONSULADOS,COSTA RICA,3708,False
TOLIMA,ALVARADO,3707,False
CAUCA,PADILLA,3706,False
ANTIOQUIA,VEGACHI,3705,False
NORTE DE SANTANDER,CUCUTILLA,3689,False
CUNDINAMARCA,LA PALMA,3676,False
TOLIMA,PALOCABILDO,3649,False
BOYACA,SOTAQUIRA,3634,False
TOLIMA,CUNDAY,3620,False
MAGDALENA,SANTA BARBARA DE PINTO,3618,False
CASANARE,SAN LUIS DE PALENQUE,3609,False
CUNDINAMARCA,GRANADA,3596,False
CUNDINAMARCA,TAUSA,3583,False
BOYACA,SUTAMARCHAN,3566,False
BOLIVAR,SAN FERNANDO,3558,False
CUNDINAMARCA,UBAQUE,3556,False
ANTIOQUIA,MACEO,3549,False
VALLE DEL CAUCA,VERSALLES,3547,False
META,LA MACARENA,3527,False
SANTANDER,SAN ANDRES,3526,False
TOLIMA,ANZOATEGUI,3519,False
MAGDALENA,SALAMINA,3515,False
CUNDINAMARCA,MACHETA,3495,False
TOLIMA,DOLORES,3490,False
MAGDALENA,CERRO DE SAN ANTONIO,3481,False
MAGDALENA,ZAPAYAN,3467,False
CAUCA,SOTARA PAISPAMBA,3462,False
CUNDINAMARCA,GUATAVITA,3462,False
ANTIOQUIA,LA PINTADA,3451,False
RISARALDA,LA CELIA,3419,False
BOYACA,PAUNA,3414,False
CUNDINAMARCA,QUETAME,3410,False
BOYACA,OTANCHE,3405,False
BOYACA,SANTANA,3404,False
META,PUERTO LLERAS,3394,False
MAGDALENA,PEDRAZA,3392,False
CHOCO,MEDIO BAUDO,3378,False
QUINDIO,SALENTO,3373,False
NORTE DE SANTANDER,TEORAMA,3369,False
HUILA,VILLAVIEJA,3364,False
CUNDINAMARCA,NILO,3356,False
BOYACA,SIACHOQUE,3340,False
TOLIMA,VILLAHERMOSA,3334,False
CUNDINAMARCA,QUIPILE,3326,False
CHOCO,ACANDI,3319,False
CUNDINAMARCA,LA PENA,3303,False
BOYACA,UMBITA,3283,False
VICHADA,LA PRIMAVERA,3277,False
CUNDINAMARCA,NOCAIMA,3270,False
CHOCO,RIO QUITO,3270,False
CORDOBA,SAN JOSE DE URE,3270,False
CHOCO,ATRATO,3258,False
CHOCO,BAJO BAUDO,3254,False
CHOCO,LLORO,3253,False
SANTANDER,SIMACOTA,3252,False
BOYACA,SAN PABLO DE BORBUR,3239,False
TOLIMA,AMBALEMA,3237,False
NARINO,ANCUYA,3235,False
HUILA,COLOMBIA,3233,False
SANTANDER,ARATOCA,3231,False
QUINDIO,PIJAO,3224,False
NORTE DE SANTANDER,RAGONVALIA,3223,False
META,SAN JUAN DE ARAMA,3201,False
BOLIVAR,ARROYOHONDO,3169,False
CONSULADOS,ALEMANIA,3157,False
NARINO,ALDANA,3155,False
BOLIVAR,CANTAGALLO,3140,False
BOYACA,SORACA,3120,False
NARINO,CUASPUD CARLOSAMA,3119,False
BOYACA,TIBANA,3118,False
NARINO,LEIVA,3103,False
NORTE DE SANTANDER,GRAMALOTE,3099,False
CUNDINAMARCA,CARMEN DE CARUPA,3093,False
ANTIOQUIA,ANORI,3092,False
BOLIVAR,EL GUAMO,3082,False
NARINO,ILES,3073,False
CUNDINAMARCA,FOSCA,3069,False
ANTIOQUIA,ARGELIA,3067,False
ANTIOQUIA,SABANALARGA,3064,False
ANTIOQUIA,PUEBLORRICO,3062,False
META,CUBARRAL,3062,False
NARINO,COLON,3060,False
ANTIOQUIA,BETANIA,3056,False
BOLIVAR,RIO VIEJO,3051,False
BOYACA,CHITA,3043,False
CHOCO,MEDIO SAN JUAN,3040,False
NARINO,SAN PEDRO DE CARTAGO,3029,False
NARINO,IMUES,3021,False
BOLIVAR,SAN CRISTOBAL,3018,False
META,CABUYARO,3016,False
SANTANDER,TONA,3015,False
CHOCO,BAHIA SOLANO,3014,False
ANTIOQUIA,TITIRIBI,3013,False
SANTANDER,LA BELLEZA,3009,False
HUILA,PAICOL,3009,False
META,PUERTO CONCORDIA,3004,False
BOYACA,SOCHA,3004,False
BOYACA,SOCOTA,2990,False
SANTANDER,MATANZA,2988,False
CUNDINAMARCA,CUCUNUBA,2983,False
BOYACA,PESCA,2980,False
ANTIOQUIA,ANGOSTURA,2966,False
CUNDINAMARCA,ALBAN,2921,False
BOYACA,FIRAVITOBA,2921,False
NARINO,GUALMATAN,2916,False
BOYACA,MARIPI,2909,False
VALLE DEL CAUCA,EL CAIRO,2907,False
CUNDINAMARCA,GUAYABETAL,2903,False
HUILA,HOBO,2898,False
ANTIOQUIA,PEQUE,2888,False
NARINO,EL ROSARIO,2887,False
TOLIMA,PIEDRAS,2874,False
MAGDALENA,REMOLINO,2869,False
CUNDINAMARCA,SUSA,2868,False
NARINO,ARBOLEDA,2861,False
ANTIOQUIA,MONTEBELLO,2860,False
CAUCA,SAN SEBASTIAN,2856,False
NARINO,BELEN,2853,False
META,EL CASTILLO,2851,False
ANTIOQUIA,BURITICA,2848,False
SANTANDER,GUACA,2824,False
BOYACA,RAQUIRA,2824,False
SANTANDER,CERRITO,2822,False
CALDAS,MARMATO,2810,False
META,BARRANCA DE UPIA,2798,False
CALDAS,NORCASIA,2798,False
TOLIMA,SANTA ISABEL,2797,False
META,URIBE,2797,False
ANTIOQUIA,VALDIVIA,2796,False
VALLE DEL CAUCA,ARGELIA,2793,False
CUNDINAMARCA,JUNIN,2789,False
TOLIMA,FALAN,2784,False
NARINO,EL PENOL,2777,False
CHOCO,EL CARMEN DE ATRATO,2770,False
SANTANDER,VALLE DE SAN JOSE,2759,False
CHOCO,UNGUIA,2752,False
HUILA,BARAYA,2750,False
BOYACA,QUIPAMA,2749,False
BOYACA,MOTAVITA,2744,False
NORTE DE SANTANDER,SAN CALIXTO,2739,False
NARINO,FUNES,2739,False
TOLIMA,HERVEO,2733,False
CUNDINAMARCA,UTICA,2725,False
NARINO,NARINO,2723,False
RISARALDA,BALBOA,2713,False
ATLANTICO,PIOJO,2708,False
ANTIOQUIA,CAICEDO,2707,False
ANTIOQUIA,VALPARAISO,2705,False
NORTE DE SANTANDER,PAMPLONITA,2705,False
BOYACA,CHITARAQUE,2699,False
BOYACA,JENESANO,2694,False
NARINO,ROBERTO PAYAN,2690,False
ANTIOQUIA,URAMITA,2689,False
CALDAS,SAN JOSE,2689,False
CUNDINAMARCA,ZIPACON,2680,False
SANTANDER,CAPITANEJO,2671,False
SANTANDER,SUCRE,2667,False
NARINO,CUMBITARA,2666,False
TOLIMA,CASABIANCA,2658,False
BOLIVAR,MONTECRISTO,2656,False
BOYACA,ARCABUCO,2654,False
CAQUETA,CURILLO,2647,False
CONSULADOS,ITALIA,2635,False
QUINDIO,CORDOBA,2632,False
NORTE DE SANTANDER,SILOS,2631,False
CUNDINAMARCA,QUEBRADANEGRA,2624,False
NORTE DE SANTANDER,LABATECA,2623,False
CALDAS,LA MERCED,2619,False
BOYACA,MONGUA,2610,False
TOLIMA,VALLE DE SAN JUAN,2607,False
ANTIOQUIA,SAN FRANCISCO,2605,False
BOLIVAR,EL PENON,2598,False
SANTANDER,PUERTO PARRA,2597,False
NARINO,SANTACRUZ,2597,False
BOLIVAR,SAN JACINTO DEL CAUCA,2596,False
NARINO,MALLAMA,2594,False
BOYACA,SAN JOSE DE PARE,2592,False
HUILA,NATAGA,2591,False
PUTUMAYO,SANTIAGO,2589,False
SANTANDER,CONCEPCION,2584,False
CHOCO,EL LITORAL DEL SAN JUAN,2570,False
CAUCA,SUCRE,2567,False
ANTIOQUIA,ANGELOPOLIS,2564,False
BOYACA,TURMEQUE,2564,False
BOYACA,BUENAVISTA,2560,False
NORTE DE SANTANDER,HACARI,2557,False
NORTE DE SANTANDER,DURANIA,2545,False
CASANARE,TAMARA,2537,False
CUNDINAMARCA,MANTA,2532,False
BOYACA,SAN LUIS DE GACENO,2523,False
NARINO,CONTADERO,2522,False
BOYACA,BOAVITA,2491,False
NORTE DE SANTANDER,LA PLAYA,2483,False
ANTIOQUIA,ANZA,2483,False
ANTIOQUIA,CARAMANTA,2472,False
ANTIOQUIA,GIRALDO,2469,False
NARINO,SAPUYES,2469,False
SANTANDER,SAN JOSE DE MIRANDA,2463,False
CUNDINAMARCA,GUAYABAL DE SIQUIMA,2458,False
ANTIOQUIA,YALI,2446,False
CUNDINAMARCA,GACHALA,2440,False
CUNDINAMARCA,SUTATAUSA,2429,False
CHOCO,BAGADO,2427,False
CUNDINAMARCA,SUPATA,2420,False
ANTIOQUIA,HELICONIA,2419,False
TOLIMA,VILLARRICA,2384,False
SANTANDER,BETULIA,2372,False
CONSULADOS,ARUBA,2366,False
BOLIVAR,ARENAL,2355,False
SANTANDER,GUADALUPE,2350,False
SANTANDER,COROMORO,2331,False
SUCRE,CHALAN,2326,False
CONSULADOS,PERU,2325,False
CAUCA,PIAMONTE,2301,False
BOYACA,PAZ DE RIO,2296,False
CUNDINAMARCA,FUQUENE,2289,False
PUTUMAYO,COLON,2286,False
NARINO,MAGUI,2265,False
TOLIMA,SUAREZ,2257,False
ANTIOQUIA,BELMIRA,2257,False
CUNDINAMARCA,EL PENON,2252,False
BOLIVAR,ALTOS DEL ROSARIO,2231,False
CAUCA,FLORENCIA,2230,False
CONSULADOS,BRASIL,2225,False
BOYACA,SACHICA,2210,False
PUTUMAYO,SAN FRANCISCO,2209,False
ANTIOQUIA,ALEJANDRIA,2203,False
ANTIOQUIA,HISPANIA,2199,False
BOYACA,CERINZA,2187,False
VALLE DEL CAUCA,ULLOA,2186,False
NARINO,OSPINA,2186,False
SANTANDER,FLORIAN,2179,False
CUNDINAMARCA,PAIME,2162,False
CUNDINAMARCA,TIBACUY,2162,False
BOYACA,NUEVO COLON,2161,False
CUNDINAMARCA,PANDI,2160,False
ANTIOQUIA,CONCEPCION,2160,False
BOYACA,GUAYATA,2159,False
SANTANDER,PARAMO,2151,False
BOYACA,MONGUI,2150,False
BOYACA,CUBARA,2147,False
CAQUETA,VALPARAISO,2146,False
NORTE DE SANTANDER,BUCARASICA,2146,False
NARINO,PROVIDENCIA,2144,False
CHOCO,UNION PANAMERICANA,2134,False
NARINO,MOSQUERA,2128,False
ANTIOQUIA,BRICENO,2125,False
NORTE DE SANTANDER,VILLA CARO,2119,False
BOLIVAR,REGIDOR,2104,False
CUNDINAMARCA,SAN CAYETANO,2100,False
CHOCO,MEDIO ATRATO,2096,False
ANTIOQUIA,VIGIA DEL FUERTE,2095,False
CUNDINAMARCA,VIANI,2095,False
SANTANDER,GUEPSA,2089,False
BOYACA,SUTATENZA,2088,False
SANTANDER,CHARTA,2085,False
BOYACA,TASCO,2080,False
BOYACA,GAMEZA,2078,False
NORTE DE SANTANDER,LOURDES,2071,False
SANTANDER,OCAMONTE,2068,False
CHOCO,CARMEN DEL DARIEN,2067,False
ANTIOQUIA,TARSO,2059,False
TOLIMA,ALPUJARRA,2055,False
SANTANDER,PINCHOTE,2051,False
BOYACA,ZETAQUIRA,2048,False
BOYACA,TOGUI,2040,False
SANTANDER,MOLAGAVITA,2020,False
CHOCO,CERTEGUI,2011,False
BOYACA,CIENEGA,2009,False
ANTIOQUIA,GUADALUPE,2006,False
ANTIOQUIA,SAN ANDRES DE CUERQUIA,2003,False
CHOCO,EL CANTON DEL SAN PABLO,2001,False
SANTANDER,GUAVATA,1996,False
SANTANDER,SURATA,1986,False
BOYACA,SAN MATEO,1985,False
BOYACA,TOPAGA,1979,False
BOYACA,MACANAL,1967,False
CHOCO,NOVITA,1965,False
GUAVIARE,CALAMAR,1955,False
BOYACA,EL COCUY,1949,False
CAQUETA,ALBANIA,1945,False
CAQUETA,MILAN,1937,False
CONSULADOS,SUIZA,1930,False
CUNDINAMARCA,NIMAIMA,1927,False
NORTE DE SANTANDER,HERRAN,1917,False
META,MAPIRIPAN,1914,False
META,EL DORADO,1912,False
AMAZONAS,PUERTO NARINO,1910,False
ANTIOQUIA,ARMENIA,1905,False
SANTANDER,CARCASI,1903,False
TOLIMA,RONCESVALLES,1901,False
HUILA,ELIAS,1893,False
CUNDINAMARCA,TOPAIPI,1879,False
ANTIOQUIA,CAROLINA,1870,False
CUNDINAMARCA,CHAGUANI,1864,False
NORTE DE SANTANDER,SANTIAGO,1864,False
CAQUETA,SOLANO,1837,False
LA GUAJIRA,LA JAGUA DEL PILAR,1829,False
CUNDINAMARCA,CABRERA,1827,False
BOYACA,FLORESTA,1808,False
CUNDINAMARCA,VENECIA,1807,False
SANTANDER,ONZAGA,1806,False
ANTIOQUIA,CAMPAMENTO,1805,False
BOYACA,TENZA,1802,False
CAQUETA,SOLITA,1789,False
BOYACA,TINJACA,1789,False
BOYACA,BOYACA,1777,False
CUNDINAMARCA,GUTIERREZ,1766,False
NORTE DE SANTANDER,MUTISCUA,1744,False
BOYACA,CUCAITA,1734,False
BOYACA,SANTA SOFIA,1732,False
CAUCA,SANTA ROSA,1727,False
BOYACA,GACHANTIVA,1723,False
CUNDINAMARCA,GAMA,1722,False
BOYACA,TOTA,1722,False
SANTANDER,LA PAZ,1721,False
CAQUETA,MORELIA,1714,False
SANTANDER,ENCISO,1710,False
BOYACA,CHISCAS,1702,False
SANTANDER,GAMBITA,1700,False
BOYACA,GUICAN DE LA SIERRA,1694,False
CHOCO,BOJAYA,1690,False
HUILA,ALTAMIRA,1684,False
NARINO,LA LLANADA,1684,False
CASANARE,SABANALARGA,1681,False
ANTIOQUIA,CARACOLI,1680,False
BOYACA,TIPACOQUE,1678,False
SANTANDER,CONTRATACION,1668,False
SANTANDER,CHIPATA,1648,False
ANTIOQUIA,TOLEDO,1647,False
NARINO,FRANCISCO PIZARRO,1647,False
BOYACA,OICATA,1638,False
TOLIMA,MURILLO,1637,False
CHOCO,RIO IRO,1633,False
BOYACA,SANTA MARIA,1633,False
CESAR,GONZALEZ,1630,False
BOYACA,COPER,1624,False
SANTANDER,EL PENON,1609,False
NARINO,LA TOLA,1609,False
ARAUCA,PUERTO RONDON,1607,False
NARINO,SANTA BARBARA,1600,False
SANTANDER,JESUS MARIA,1595,False
BOYACA,CALDAS,1588,False
CUNDINAMARCA,TIBIRITA,1575,False
BOYACA,JERICO,1572,False
BOLIVAR,NOROSI,1563,False
BOYACA,CHINAVITA,1557,False
SANTANDER,ALBANIA,1557,False
SANTANDER,CONFINES,1547,False
ANTIOQUIA,SAN JOSE DE LA MONTANA,1547,False
CHOCO,NUQUI,1541,False
BOYACA,LABRANZAGRANDE,1536,False
BOYACA,PAEZ,1532,False
BOYACA,CHIVATA,1519,False
BOYACA,CHIQUIZA,1516,False
BOYACA,COVARACHIA,1500,False
VICHADA,SANTA ROSALIA,1498,False
ANTIOQUIA,OLAYA,1497,False
BOYACA,SAN MIGUEL DE SEMA,1496,False
SANTANDER,GALAN,1489,False
BOYACA,SUSACON,1475,False
CUNDINAMARCA,PULI,1472,False
SANTANDER,PALMAS DEL SOCORRO,1452,False
BOYACA,LA CAPILLA,1426,False
NORTE DE SANTANDER,CACOTA,1422,False
QUINDIO,BUENAVISTA,1409,False
SANTANDER,SANTA HELENA DEL OPON,1407,False
BOYACA,CORRALES,1401,False
BOYACA,CAMPOHERMOSO,1381,False
BOYACA,LA UVITA,1380,False
ARAUCA,CRAVO NORTE,1368,False
BOYACA,VIRACACHA,1365,False
BOYACA,SOMONDOCO,1353,False
SANTANDER,SAN BENITO,1346,False
BOYACA,SORA,1342,False
BOYACA,EL ESPINO,1329,False
BOYACA,SATIVANORTE,1275,False
CUNDINAMARCA,BITUIMA,1275,False
BOYACA,IZA,1270,False
CONSULADOS,PAISES BAJOS,1244,False
BOYACA,RONDON,1232,False
CONSULADOS,EMIRATOS ARABES UNIDOS,1214,False
SANTANDER,CHIMA,1213,False
CONSULADOS,BELGICA,1210,False
CUNDINAMARCA,JERUSALEN,1209,False
CUNDINAMARCA,NARINO,1206,False
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,PROVIDENCIA,1198,False
CHOCO,SAN JOSE DEL PALMAR,1191,False
SANTANDER,SAN MIGUEL,1187,False
BOYACA,BRICENO,1181,False
CALDAS,MARULANDA,1169,False
SANTANDER,SANTA BARBARA,1166,False
CASANARE,CHAMEZA,1127,False
GUAVIARE,MIRAFLORES,1112,False
SANTANDER,CALIFORNIA,1111,False
SANTANDER,MACARAVITA,1102,False
CUNDINAMARCA,VILLAGOMEZ,1084,False
CUNDINAMARCA,BELTRAN,1084,False
SANTANDER,ENCINO,1070,False
BOYACA,PACHAVITA,1063,False
SANTANDER,CEPITA,1061,False
BOYACA,TUTAZA,1055,False
SANTANDER,SAN JOAQUIN,1053,False
BOYACA,CHIVOR,1048,False
CUNDINAMARCA,GUATAQUI,1041,False
CONSULADOS,REPUBLICA DOMINICANA,1032,False
SANTANDER,GUAPOTA,1019,False
BOYACA,CUITIVA,1001,False
ANTIOQUIA,ABRIAQUI,994,False
BOYACA,ALMEIDA,980,False
SANTANDER,CABRERA,973,False
SANTANDER,VETAS,958,False
SANTANDER,HATO,956,False
SANTANDER,EL GUACAMAYO,952,False
BOYACA,BETEITIVA,932,False
ANTIOQUIA,MURINDO,930,False
BOYACA,GUACAMAYAS,922,False
BOYACA,PAYA,899,False
BOYACA,PAJARITO,898,False
BOYACA,PANQUEBA,874,False
BOYACA,SAN EDUARDO,851,False
META,EL CALVARIO,849,False
BOYACA,LA VICTORIA,843,False
CHOCO,SIPI,821,False
META,SAN JUANITO,796,False
CASANARE,RECETOR,759,False
CONSULADOS,CURAZAO,753,False
BOYACA,BERBEO,741,False
CONSULADOS,PUERTO RICO,736,False
CHOCO,JURADO,732,False
SANTANDER,AGUADA,726,False
SANTANDER,PALMAR,724,False
SANTANDER,JORDAN,720,False
BOYACA,TUNUNGUA,717,False
CONSULADOS,GUATEMALA,684,False
CASANARE,SACAMA,682,False
CONSULADOS,NUEVA ZELANDA,673,False
CONSULADOS,SUECIA,649,False
GUAINIA,BARRANCOMINAS,591,False
AMAZONAS,LA CHORRERA,565,False
CONSULADOS,AUSTRIA,560,False
BOYACA,PISBA,557,False
VAUPES,CARURU,536,False
BOYACA,BUSBANZA,530,False
BOYACA,SATIVASUR,504,False
CONSULADOS,CHINA REPUBLICA POPULAR,473,False
CASANARE,LA SALINA,468,False
CONSULADOS,BOLIVIA,456,False
VAUPES,TARAIRA,375,False
CONSULADOS,URUGUAY,373,False
AMAZONAS,TARAPACA,370,False
CONSULADOS,ISRAEL,345,False
CONSULADOS,PORTUGAL,318,False
AMAZONAS,EL ENCANTO,308,False
VAUPES,YAVARATE,298,False
CONSULADOS,JAPON,286,False
GUAINIA,SAN FELIPE,261,False
CONSULADOS,EL SALVADOR,240,False
AMAZONAS,LA PEDRERA,231,False
CONSULADOS,CUBA,229,False
CONSULADOS,HONDURAS,222,False
CONSULADOS,PARAGUAY,212,False
CONSULADOS,NORUEGA,192,False
VAUPES,PACOA,181,False
CONSULADOS,RUSIA,174,False
AMAZONAS,PUERTO SANTANDER,168,False
GUAINIA,PANA PANA,150,False
AMAZONAS,PUERTO ARICA,146,False
CONSULADOS,FINLANDIA,146,False
CONSULADOS,REPUBLICA DE SINGAPUR,141,False
CONSULADOS,NICARAGUA,137,False
CONSULADOS,IRLANDA,130,False
GUAINIA,PUERTO COLOMBIA,124,False
CONSULADOS,POLONIA,117,False
CONSULADOS,SUDAFRICA,113,False
CONSULADOS,LIBANO,101,False
CONSULADOS,TURQUIA,99,False
CONSULADOS,TRINIDAD Y TOBAGO,97,False
GUAINIA,MAPIRIPANA,97,False
CONSULADOS,COREA DEL SUR,95,False
CONSULADOS,DINAMARCA,88,False
CONSULADOS,REPUBLICA DE FILIPINAS,80,False
CONSULADOS,JAMAICA,80,False
AMAZONAS,MIRITI  PARANA,77,False
AMAZONAS,PUERTO ALEGRIA,75,False
CONSULADOS,LUXEMBURGO,72,False
CONSULADOS,TAILANDIA,62,False
CONSULADOS,MALASIA,60,False
GUAINIA,MORICHAL,54,False
GUAINIA,LA GUADALUPE,52,False
CONSULADOS,GRECIA,47,False
CONSULADOS,INDONESIA,41,False
CONSULADOS,EGIPTO,39,False
CONSULADOS,KENIA,31,False
CONSULADOS,BELICE,29,False
CONSULADOS,CHIPRE,25,False
VAUPES,PAPUNAHUA,23,False
CONSULADOS,REPUBLICA SOCIALISTA DE VIETNAM,21,False
GUAINIA,CACAHUAL,20,False
CONSULADOS,INDIA,20,False
AMAZONAS,LA VICTORIA,19,False
CONSULADOS,MARRUECOS,18,False
CONSULADOS,AZERBAIYAN,18,False
CONSULADOS,GHANA,16,False
CONSULADOS,ARGELIA,8,False
