departamento,municipio,votos
CALDAS,ANSERMA,15399
CASANARE,PAZ DE ARIPORO,15240
CESAR,LA JAGUA DE IBIRICO,15003
TOLIMA,SAN SEBASTIAN DE MARIQUITA,14898
VALLE DEL CAUCA,GUACARI,14839
ANTIOQUIA,YARUMAL,14738
NORTE DE SANTANDER,TIBU,14630
CUNDINAMARCA,LA MESA,14597
AMAZONAS,LETICIA,14559
CUNDINAMARCA,LA CALERA,14441
SANTANDER,SOCORRO,14429
ANTIOQUIA,SONSON,14313
SANTANDER,BARBOSA,14300
ANTIOQUIA,PUERTO BERRIO,14276
CASANARE,VILLANUEVA,14234
CUNDINAMARCA,VILLETA,13952
BOLIVAR,SANTA CRUZ DE MOMPOX,13946
CESAR,BOSCONIA,13912
CORDOBA,SAN ANDRES DE SOTAVENTO,13879
META,PUERTO LOPEZ,13832
QUINDIO,CIRCASIA,13805
VALLE DEL CAUCA,CAICEDONIA,13788
CAUCA,EL TAMBO,13721
SANTANDER,CIMITARRA,13706
LA GUAJIRA,FONSECA,13683
BOLIVAR,SAN JUAN NEPOMUCENO,13547
CAUCA,PIENDAMO  TUNIA,13492
SUCRE,MAJAGUAL,13366
CUNDINAMARCA,SOPO,13364
HUILA,CAMPOALEGRE,13357
SUCRE,SAN LUIS DE SINCE,13331
CAQUETA,SAN VICENTE DEL CAGUAN,13321
TOLIMA,GUAMO,13162
PUTUMAYO,ORITO,13054
CESAR,CURUMANI,13035
TOLIMA,FRESNO,13008
CAUCA,TIMBIO,12901
BOLIVAR,MARIA LA BAJA,12783
CORDOBA,AYAPEL,12671
ATLANTICO,SANTO TOMAS,12578
CUNDINAMARCA,EL COLEGIO,12535
SUCRE,SANTIAGO DE TOLU,12496
CUNDINAMARCA,GUADUAS,12463
CAUCA,MIRANDA,12326
CORDOBA,PUERTO LIBERTADOR,12283
HUILA,SAN AGUSTIN,12210
CUNDINAMARCA,PACHO,12091
ATLANTICO,SABANAGRANDE,12061
SANTANDER,RIONEGRO,12000
ANTIOQUIA,RETIRO,11974
CUNDINAMARCA,EL ROSAL,11930
ANTIOQUIA,NECOCLI,11924
CORDOBA,PUEBLO NUEVO,11924
SANTANDER,PUERTO WILCHES,11882
ARAUCA,ARAUQUITA,11845
SANTANDER,SAN VICENTE DE CHUCURI,11843
CAUCA,BOLIVAR,11780
CALDAS,SUPIA,11733
ANTIOQUIA,EL BAGRE,11717
MAGDALENA,PIVIJAY,11705
CAUCA,SILVIA,11689
TOLIMA,HONDA,11664
CESAR,EL PASO,11627
SANTANDER,SABANA DE TORRES,11613
TOLIMA,ORTEGA,11582
PUTUMAYO,VALLE DEL GUAMUEZ,11577
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,SAN ANDRES,11572
NARINO,CUMBAL,11470
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,11445
CASANARE,TAURAMENA,11433
RISARALDA,BELEN DE UMBRIA,11359
NORTE DE SANTANDER,ABREGO,11310
NARINO,LA UNION,11295
