departamento,municipio,votos
CHOCO,MEDIO BAUDO,3378
QUINDIO,SALENTO,3373
NORTE DE SANTANDER,TEORAMA,3369
HUILA,VILLAVIEJA,3364
CUNDINAMARCA,NILO,3356
BOYACA,SIACHOQUE,3340
TOLIMA,VILLAHERMOSA,3334
CUNDINAMARCA,QUIPILE,3326
CHOCO,ACANDI,3319
CUNDINAMARCA,LA PENA,3303
BOYACA,UMBITA,3283
VICHADA,LA PRIMAVERA,3277
CUNDINAMARCA,NOCAIMA,3270
CHOCO,RIO QUITO,3270
CORDOBA,SAN JOSE DE URE,3270
CHOCO,ATRATO,3258
CHOCO,BAJO BAUDO,3254
CHOCO,LLORO,3253
SANTANDER,SIMACOTA,3252
BOYACA,SAN PABLO DE BORBUR,3239
TOLIMA,AMBALEMA,3237
NARINO,ANCUYA,3235
HUILA,COLOMBIA,3233
SANTANDER,ARATOCA,3231
QUINDIO,PIJAO,3224
NORTE DE SANTANDER,RAGONVALIA,3223
META,SAN JUAN DE ARAMA,3201
BOLIVAR,ARROYOHONDO,3169
CONSULADOS,ALEMANIA,3157
NARINO,ALDANA,3155
BOLIVAR,CANTAGALLO,3140
BOYACA,SORACA,3120
NARINO,CUASPUD CARLOSAMA,3119
BOYACA,TIBANA,3118
NARINO,LEIVA,3103
NORTE DE SANTANDER,GRAMALOTE,3099
CUNDINAMARCA,CARMEN DE CARUPA,3093
ANTIOQUIA,ANORI,3092
BOLIVAR,EL GUAMO,3082
NARINO,ILES,3073
CUNDINAMARCA,FOSCA,3069
ANTIOQUIA,ARGELIA,3067
ANTIOQUIA,SABANALARGA,3064
ANTIOQUIA,PUEBLORRICO,3062
META,CUBARRAL,3062
NARINO,COLON,3060
ANTIOQUIA,BETANIA,3056
BOLIVAR,RIO VIEJO,3051
BOYACA,CHITA,3043
CHOCO,MEDIO SAN JUAN,3040
NARINO,SAN PEDRO DE CARTAGO,3029
NARINO,IMUES,3021
BOLIVAR,SAN CRISTOBAL,3018
META,CABUYARO,3016
SANTANDER,TONA,3015
CHOCO,BAHIA SOLANO,3014
ANTIOQUIA,TITIRIBI,3013
SANTANDER,LA BELLEZA,3009
HUILA,PAICOL,3009
META,PUERTO CONCORDIA,3004
BOYACA,SOCHA,3004
BOYACA,SOCOTA,2990
SANTANDER,MATANZA,2988
CUNDINAMARCA,CUCUNUBA,2983
BOYACA,PESCA,2980
ANTIOQUIA,ANGOSTURA,2966
CUNDINAMARCA,ALBAN,2921
BOYACA,FIRAVITOBA,2921
NARINO,GUALMATAN,2916
BOYACA,MARIPI,2909
VALLE DEL CAUCA,EL CAIRO,2907
CUNDINAMARCA,GUAYABETAL,2903
HUILA,HOBO,2898
ANTIOQUIA,PEQUE,2888
NARINO,EL ROSARIO,2887
TOLIMA,PIEDRAS,2874
MAGDALENA,REMOLINO,2869
CUNDINAMARCA,SUSA,2868
NARINO,ARBOLEDA,2861
ANTIOQUIA,MONTEBELLO,2860
CAUCA,SAN SEBASTIAN,2856
NARINO,BELEN,2853
META,EL CASTILLO,2851
ANTIOQUIA,BURITICA,2848
SANTANDER,GUACA,2824
BOYACA,RAQUIRA,2824
SANTANDER,CERRITO,2822
CALDAS,MARMATO,2810
META,BARRANCA DE UPIA,2798
CALDAS,NORCASIA,2798
TOLIMA,SANTA ISABEL,2797
META,URIBE,2797
ANTIOQUIA,VALDIVIA,2796
VALLE DEL CAUCA,ARGELIA,2793
CUNDINAMARCA,JUNIN,2789
TOLIMA,FALAN,2784
NARINO,EL PENOL,2777
CHOCO,EL CARMEN DE ATRATO,2770
SANTANDER,VALLE DE SAN JOSE,2759
CHOCO,UNGUIA,2752
HUILA,BARAYA,2750
BOYACA,QUIPAMA,2749
BOYACA,MOTAVITA,2744
NORTE DE SANTANDER,SAN CALIXTO,2739
NARINO,FUNES,2739
TOLIMA,HERVEO,2733
CUNDINAMARCA,UTICA,2725
NARINO,NARINO,2723
RISARALDA,BALBOA,2713
ATLANTICO,PIOJO,2708
ANTIOQUIA,CAICEDO,2707
ANTIOQUIA,VALPARAISO,2705
NORTE DE SANTANDER,PAMPLONITA,2705
BOYACA,CHITARAQUE,2699
BOYACA,JENESANO,2694
NARINO,ROBERTO PAYAN,2690
ANTIOQUIA,URAMITA,2689
CALDAS,SAN JOSE,2689
CUNDINAMARCA,ZIPACON,2680
SANTANDER,CAPITANEJO,2671
SANTANDER,SUCRE,2667
NARINO,CUMBITARA,2666
TOLIMA,CASABIANCA,2658
BOLIVAR,MONTECRISTO,2656
BOYACA,ARCABUCO,2654
CAQUETA,CURILLO,2647
CONSULADOS,ITALIA,2635
QUINDIO,CORDOBA,2632
NORTE DE SANTANDER,SILOS,2631
CUNDINAMARCA,QUEBRADANEGRA,2624
NORTE DE SANTANDER,LABATECA,2623
CALDAS,LA MERCED,2619
BOYACA,MONGUA,2610
TOLIMA,VALLE DE SAN JUAN,2607
ANTIOQUIA,SAN FRANCISCO,2605
BOLIVAR,EL PENON,2598
SANTANDER,PUERTO PARRA,2597
NARINO,SANTACRUZ,2597
BOLIVAR,SAN JACINTO DEL CAUCA,2596
NARINO,MALLAMA,2594
BOYACA,SAN JOSE DE PARE,2592
HUILA,NATAGA,2591
PUTUMAYO,SANTIAGO,2589
SANTANDER,CONCEPCION,2584
CHOCO,EL LITORAL DEL SAN JUAN,2570
CAUCA,SUCRE,2567
ANTIOQUIA,ANGELOPOLIS,2564
BOYACA,TURMEQUE,2564
BOYACA,BUENAVISTA,2560
NORTE DE SANTANDER,HACARI,2557
NORTE DE SANTANDER,DURANIA,2545
CASANARE,TAMARA,2537
CUNDINAMARCA,MANTA,2532
BOYACA,SAN LUIS DE GACENO,2523
NARINO,CONTADERO,2522
BOYACA,BOAVITA,2491
NORTE DE SANTANDER,LA PLAYA,2483
ANTIOQUIA,ANZA,2483
ANTIOQUIA,CARAMANTA,2472
ANTIOQUIA,GIRALDO,2469
NARINO,SAPUYES,2469
SANTANDER,SAN JOSE DE MIRANDA,2463
CUNDINAMARCA,GUAYABAL DE SIQUIMA,2458
ANTIOQUIA,YALI,2446
CUNDINAMARCA,GACHALA,2440
CUNDINAMARCA,SUTATAUSA,2429
CHOCO,BAGADO,2427
CUNDINAMARCA,SUPATA,2420
ANTIOQUIA,HELICONIA,2419
TOLIMA,VILLARRICA,2384
SANTANDER,BETULIA,2372
CONSULADOS,ARUBA,2366
BOLIVAR,ARENAL,2355
SANTANDER,GUADALUPE,2350
SANTANDER,COROMORO,2331
SUCRE,CHALAN,2326
CONSULADOS,PERU,2325
CAUCA,PIAMONTE,2301
BOYACA,PAZ DE RIO,2296
CUNDINAMARCA,FUQUENE,2289
PUTUMAYO,COLON,2286
NARINO,MAGUI,2265
TOLIMA,SUAREZ,2257
ANTIOQUIA,BELMIRA,2257
CUNDINAMARCA,EL PENON,2252
BOLIVAR,ALTOS DEL ROSARIO,2231
CAUCA,FLORENCIA,2230
CONSULADOS,BRASIL,2225
BOYACA,SACHICA,2210
PUTUMAYO,SAN FRANCISCO,2209
ANTIOQUIA,ALEJANDRIA,2203
ANTIOQUIA,HISPANIA,2199
BOYACA,CERINZA,2187
VALLE DEL CAUCA,ULLOA,2186
NARINO,OSPINA,2186
SANTANDER,FLORIAN,2179
CUNDINAMARCA,PAIME,2162
CUNDINAMARCA,TIBACUY,2162
BOYACA,NUEVO COLON,2161
CUNDINAMARCA,PANDI,2160
ANTIOQUIA,CONCEPCION,2160
BOYACA,GUAYATA,2159
SANTANDER,PARAMO,2151
BOYACA,MONGUI,2150
BOYACA,CUBARA,2147
CAQUETA,VALPARAISO,2146
NORTE DE SANTANDER,BUCARASICA,2146
NARINO,PROVIDENCIA,2144
CHOCO,UNION PANAMERICANA,2134
NARINO,MOSQUERA,2128
ANTIOQUIA,BRICENO,2125
NORTE DE SANTANDER,VILLA CARO,2119
BOLIVAR,REGIDOR,2104
CUNDINAMARCA,SAN CAYETANO,2100
CHOCO,MEDIO ATRATO,2096
ANTIOQUIA,VIGIA DEL FUERTE,2095
CUNDINAMARCA,VIANI,2095
SANTANDER,GUEPSA,2089
BOYACA,SUTATENZA,2088
SANTANDER,CHARTA,2085
BOYACA,TASCO,2080
BOYACA,GAMEZA,2078
NORTE DE SANTANDER,LOURDES,2071
SANTANDER,OCAMONTE,2068
CHOCO,CARMEN DEL DARIEN,2067
ANTIOQUIA,TARSO,2059
TOLIMA,ALPUJARRA,2055
SANTANDER,PINCHOTE,2051
BOYACA,ZETAQUIRA,2048
BOYACA,TOGUI,2040
SANTANDER,MOLAGAVITA,2020
CHOCO,CERTEGUI,2011
BOYACA,CIENEGA,2009
ANTIOQUIA,GUADALUPE,2006
ANTIOQUIA,SAN ANDRES DE CUERQUIA,2003
CHOCO,EL CANTON DEL SAN PABLO,2001
SANTANDER,GUAVATA,1996
SANTANDER,SURATA,1986
BOYACA,SAN MATEO,1985
BOYACA,TOPAGA,1979
BOYACA,MACANAL,1967
CHOCO,NOVITA,1965
GUAVIARE,CALAMAR,1955
BOYACA,EL COCUY,1949
CAQUETA,ALBANIA,1945
CAQUETA,MILAN,1937
CONSULADOS,SUIZA,1930
CUNDINAMARCA,NIMAIMA,1927
NORTE DE SANTANDER,HERRAN,1917
META,MAPIRIPAN,1914
META,EL DORADO,1912
AMAZONAS,PUERTO NARINO,1910
ANTIOQUIA,ARMENIA,1905
SANTANDER,CARCASI,1903
TOLIMA,RONCESVALLES,1901
HUILA,ELIAS,1893
CUNDINAMARCA,TOPAIPI,1879
ANTIOQUIA,CAROLINA,1870
CUNDINAMARCA,CHAGUANI,1864
NORTE DE SANTANDER,SANTIAGO,1864
CAQUETA,SOLANO,1837
LA GUAJIRA,LA JAGUA DEL PILAR,1829
CUNDINAMARCA,CABRERA,1827
BOYACA,FLORESTA,1808
CUNDINAMARCA,VENECIA,1807
SANTANDER,ONZAGA,1806
ANTIOQUIA,CAMPAMENTO,1805
BOYACA,TENZA,1802
CAQUETA,SOLITA,1789
BOYACA,TINJACA,1789
BOYACA,BOYACA,1777
CUNDINAMARCA,GUTIERREZ,1766
NORTE DE SANTANDER,MUTISCUA,1744
BOYACA,CUCAITA,1734
BOYACA,SANTA SOFIA,1732
CAUCA,SANTA ROSA,1727
BOYACA,GACHANTIVA,1723
CUNDINAMARCA,GAMA,1722
BOYACA,TOTA,1722
SANTANDER,LA PAZ,1721
CAQUETA,MORELIA,1714
SANTANDER,ENCISO,1710
BOYACA,CHISCAS,1702
SANTANDER,GAMBITA,1700
BOYACA,GUICAN DE LA SIERRA,1694
CHOCO,BOJAYA,1690
HUILA,ALTAMIRA,1684
NARINO,LA LLANADA,1684
CASANARE,SABANALARGA,1681
ANTIOQUIA,CARACOLI,1680
BOYACA,TIPACOQUE,1678
SANTANDER,CONTRATACION,1668
SANTANDER,CHIPATA,1648
ANTIOQUIA,TOLEDO,1647
NARINO,FRANCISCO PIZARRO,1647
BOYACA,OICATA,1638
TOLIMA,MURILLO,1637
CHOCO,RIO IRO,1633
BOYACA,SANTA MARIA,1633
CESAR,GONZALEZ,1630
BOYACA,COPER,1624
SANTANDER,EL PENON,1609
NARINO,LA TOLA,1609
ARAUCA,PUERTO RONDON,1607
NARINO,SANTA BARBARA,1600
SANTANDER,JESUS MARIA,1595
BOYACA,CALDAS,1588
CUNDINAMARCA,TIBIRITA,1575
BOYACA,JERICO,1572
BOLIVAR,NOROSI,1563
BOYACA,CHINAVITA,1557
SANTANDER,ALBANIA,1557
SANTANDER,CONFINES,1547
ANTIOQUIA,SAN JOSE DE LA MONTANA,1547
CHOCO,NUQUI,1541
BOYACA,LABRANZAGRANDE,1536
BOYACA,PAEZ,1532
BOYACA,CHIVATA,1519
BOYACA,CHIQUIZA,1516
BOYACA,COVARACHIA,1500
VICHADA,SANTA ROSALIA,1498
ANTIOQUIA,OLAYA,1497
BOYACA,SAN MIGUEL DE SEMA,1496
SANTANDER,GALAN,1489
BOYACA,SUSACON,1475
CUNDINAMARCA,PULI,1472
SANTANDER,PALMAS DEL SOCORRO,1452
BOYACA,LA CAPILLA,1426
NORTE DE SANTANDER,CACOTA,1422
QUINDIO,BUENAVISTA,1409
SANTANDER,SANTA HELENA DEL OPON,1407
BOYACA,CORRALES,1401
BOYACA,CAMPOHERMOSO,1381
BOYACA,LA UVITA,1380
ARAUCA,CRAVO NORTE,1368
BOYACA,VIRACACHA,1365
BOYACA,SOMONDOCO,1353
SANTANDER,SAN BENITO,1346
BOYACA,SORA,1342
BOYACA,EL ESPINO,1329
BOYACA,SATIVANORTE,1275
CUNDINAMARCA,BITUIMA,1275
BOYACA,IZA,1270
CONSULADOS,PAISES BAJOS,1244
BOYACA,RONDON,1232
CONSULADOS,EMIRATOS ARABES UNIDOS,1214
SANTANDER,CHIMA,1213
CONSULADOS,BELGICA,1210
CUNDINAMARCA,JERUSALEN,1209
CUNDINAMARCA,NARINO,1206
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,PROVIDENCIA,1198
CHOCO,SAN JOSE DEL PALMAR,1191
SANTANDER,SAN MIGUEL,1187
BOYACA,BRICENO,1181
CALDAS,MARULANDA,1169
SANTANDER,SANTA BARBARA,1166
CASANARE,CHAMEZA,1127
GUAVIARE,MIRAFLORES,1112
SANTANDER,CALIFORNIA,1111
SANTANDER,MACARAVITA,1102
CUNDINAMARCA,VILLAGOMEZ,1084
CUNDINAMARCA,BELTRAN,1084
SANTANDER,ENCINO,1070
BOYACA,PACHAVITA,1063
SANTANDER,CEPITA,1061
BOYACA,TUTAZA,1055
SANTANDER,SAN JOAQUIN,1053
BOYACA,CHIVOR,1048
CUNDINAMARCA,GUATAQUI,1041
CONSULADOS,REPUBLICA DOMINICANA,1032
SANTANDER,GUAPOTA,1019
BOYACA,CUITIVA,1001
ANTIOQUIA,ABRIAQUI,994
BOYACA,ALMEIDA,980
SANTANDER,CABRERA,973
SANTANDER,VETAS,958
SANTANDER,HATO,956
SANTANDER,EL GUACAMAYO,952
BOYACA,BETEITIVA,932
ANTIOQUIA,MURINDO,930
BOYACA,GUACAMAYAS,922
BOYACA,PAYA,899
BOYACA,PAJARITO,898
BOYACA,PANQUEBA,874
BOYACA,SAN EDUARDO,851
META,EL CALVARIO,849
BOYACA,LA VICTORIA,843
CHOCO,SIPI,821
META,SAN JUANITO,796
CASANARE,RECETOR,759
CONSULADOS,CURAZAO,753
BOYACA,BERBEO,741
CONSULADOS,PUERTO RICO,736
CHOCO,JURADO,732
SANTANDER,AGUADA,726
SANTANDER,PALMAR,724
SANTANDER,JORDAN,720
BOYACA,TUNUNGUA,717
CONSULADOS,GUATEMALA,684
CASANARE,SACAMA,682
CONSULADOS,NUEVA ZELANDA,673
CONSULADOS,SUECIA,649
GUAINIA,BARRANCOMINAS,591
AMAZONAS,LA CHORRERA,565
CONSULADOS,AUSTRIA,560
BOYACA,PISBA,557
VAUPES,CARURU,536
BOYACA,BUSBANZA,530
BOYACA,SATIVASUR,504
CONSULADOS,CHINA REPUBLICA POPULAR,473
CASANARE,LA SALINA,468
CONSULADOS,BOLIVIA,456
VAUPES,TARAIRA,375
CONSULADOS,URUGUAY,373
AMAZONAS,TARAPACA,370
CONSULADOS,ISRAEL,345
CONSULADOS,PORTUGAL,318
AMAZONAS,EL ENCANTO,308
VAUPES,YAVARATE,298
CONSULADOS,JAPON,286
GUAINIA,SAN FELIPE,261
CONSULADOS,EL SALVADOR,240
AMAZONAS,LA PEDRERA,231
CONSULADOS,CUBA,229
CONSULADOS,HONDURAS,222
CONSULADOS,PARAGUAY,212
CONSULADOS,NORUEGA,192
VAUPES,PACOA,181
CONSULADOS,RUSIA,174
AMAZONAS,PUERTO SANTANDER,168
GUAINIA,PANA PANA,150
AMAZONAS,PUERTO ARICA,146
CONSULADOS,FINLANDIA,146
CONSULADOS,REPUBLICA DE SINGAPUR,141
CONSULADOS,NICARAGUA,137
CONSULADOS,IRLANDA,130
GUAINIA,PUERTO COLOMBIA,124
CONSULADOS,POLONIA,117
CONSULADOS,SUDAFRICA,113
CONSULADOS,LIBANO,101
CONSULADOS,TURQUIA,99
CONSULADOS,TRINIDAD Y TOBAGO,97
GUAINIA,MAPIRIPANA,97
CONSULADOS,COREA DEL SUR,95
CONSULADOS,DINAMARCA,88
CONSULADOS,REPUBLICA DE FILIPINAS,80
CONSULADOS,JAMAICA,80
AMAZONAS,MIRITI  PARANA,77
AMAZONAS,PUERTO ALEGRIA,75
CONSULADOS,LUXEMBURGO,72
CONSULADOS,TAILANDIA,62
CONSULADOS,MALASIA,60
GUAINIA,MORICHAL,54
GUAINIA,LA GUADALUPE,52
CONSULADOS,GRECIA,47
CONSULADOS,INDONESIA,41
CONSULADOS,EGIPTO,39
CONSULADOS,KENIA,31
CONSULADOS,BELICE,29
CONSULADOS,CHIPRE,25
VAUPES,PAPUNAHUA,23
CONSULADOS,REPUBLICA SOCIALISTA DE VIETNAM,21
GUAINIA,CACAHUAL,20
CONSULADOS,INDIA,20
AMAZONAS,LA VICTORIA,19
CONSULADOS,MARRUECOS,18
CONSULADOS,AZERBAIYAN,18
CONSULADOS,GHANA,16
CONSULADOS,ARGELIA,8
