departamento,municipio,candidato,votos,total_votos_candidatos,porcentaje_municipal
ANTIOQUIA,NARINO,VARGAS LLERAS GERMAN,76,3562,2.133632790567097
ANTIOQUIA,NECHI,DE LA CALLE LOMBANA HUMBERTO,80,5275,1.5165876777251186
ANTIOQUIA,NECHI,DUQUE MARQUEZ IVAN,3331,5275,63.14691943127963
ANTIOQUIA,NECHI,FAJARDO VALDERRAMA SERGIO,446,5275,8.454976303317535
ANTIOQUIA,NECHI,MORALES HOYOS VIVIANE ALEIDA,26,5275,0.49289099526066354
ANTIOQUIA,NECHI,PETRO URREGO GUSTAVO FRANCISCO,998,5275,18.919431279620852
ANTIOQUIA,NECHI,TRUJILLO SARMIENTO JORGE ANTONIO,18,5275,0.3412322274881517
ANTIOQUIA,NECHI,VARGAS LLERAS GERMAN,376,5275,7.127962085308057
ANTIOQUIA,NECOCLI,DE LA CALLE LOMBANA HUMBERTO,274,11408,2.401823281907433
ANTIOQUIA,NECOCLI,DUQUE MARQUEZ IVAN,5853,11408,51.30610098176718
ANTIOQUIA,NECOCLI,FAJARDO VALDERRAMA SERGIO,965,11408,8.45897615708275
ANTIOQUIA,NECOCLI,MORALES HOYOS VIVIANE ALEIDA,40,11408,0.3506311360448808
ANTIOQUIA,NECOCLI,PETRO URREGO GUSTAVO FRANCISCO,2637,11408,23.115357643758767
ANTIOQUIA,NECOCLI,TRUJILLO SARMIENTO JORGE ANTONIO,60,11408,0.5259467040673211
ANTIOQUIA,NECOCLI,VARGAS LLERAS GERMAN,1579,11408,13.841164095371669
ANTIOQUIA,OLAYA,DE LA CALLE LOMBANA HUMBERTO,27,1450,1.862068965517241
ANTIOQUIA,OLAYA,DUQUE MARQUEZ IVAN,1020,1450,70.34482758620689
ANTIOQUIA,OLAYA,FAJARDO VALDERRAMA SERGIO,199,1450,13.724137931034482
ANTIOQUIA,OLAYA,MORALES HOYOS VIVIANE ALEIDA,6,1450,0.41379310344827586
ANTIOQUIA,OLAYA,PETRO URREGO GUSTAVO FRANCISCO,70,1450,4.827586206896552
ANTIOQUIA,OLAYA,TRUJILLO SARMIENTO JORGE ANTONIO,1,1450,0.06896551724137931
ANTIOQUIA,OLAYA,VARGAS LLERAS GERMAN,127,1450,8.758620689655173
ANTIOQUIA,PENOL,DE LA CALLE LOMBANA HUMBERTO,84,8891,0.9447756157912496
ANTIOQUIA,PENOL,DUQUE MARQUEZ IVAN,5913,8891,66.50545495444831
ANTIOQUIA,PENOL,FAJARDO VALDERRAMA SERGIO,1911,8891,21.49364525925093
ANTIOQUIA,PENOL,MORALES HOYOS VIVIANE ALEIDA,23,8891,0.25868856146665165
ANTIOQUIA,PENOL,PETRO URREGO GUSTAVO FRANCISCO,504,8891,5.668653694747498
ANTIOQUIA,PENOL,TRUJILLO SARMIENTO JORGE ANTONIO,16,8891,0.1799572601507142
ANTIOQUIA,PENOL,VARGAS LLERAS GERMAN,440,8891,4.948824654144641
ANTIOQUIA,PEQUE,DE LA CALLE LOMBANA HUMBERTO,561,2760,20.32608695652174
ANTIOQUIA,PEQUE,DUQUE MARQUEZ IVAN,1373,2760,49.7463768115942
ANTIOQUIA,PEQUE,FAJARDO VALDERRAMA SERGIO,596,2760,21.594202898550723
ANTIOQUIA,PEQUE,MORALES HOYOS VIVIANE ALEIDA,14,2760,0.5072463768115941
ANTIOQUIA,PEQUE,PETRO URREGO GUSTAVO FRANCISCO,125,2760,4.528985507246377
ANTIOQUIA,PEQUE,TRUJILLO SARMIENTO JORGE ANTONIO,18,2760,0.6521739130434783
ANTIOQUIA,PEQUE,VARGAS LLERAS GERMAN,73,2760,2.644927536231884
ANTIOQUIA,PUEBLORRICO,DE LA CALLE LOMBANA HUMBERTO,61,2948,2.0691994572591588
ANTIOQUIA,PUEBLORRICO,DUQUE MARQUEZ IVAN,2147,2948,72.82903663500679
ANTIOQUIA,PUEBLORRICO,FAJARDO VALDERRAMA SERGIO,324,2948,10.990502035278155
